model,region,lead_days,variable,normalized_mse,normalized_rmse
blur3_truth,tropics,25,thetao,0.004889060934508282,0.06992182016014944
blur3_truth,tropics,25,velocity,0.6428424701419426,0.8017745756395264
blur3_truth,tropics,25,zos,0.002509122827287822,0.050091145198406295
blur3_truth,tropics,30,so,0.0048244260244191565,0.06945808825773393
blur3_truth,tropics,30,sst,0.004220300207074416,0.06496383768739664
blur3_truth,tropics,30,thetao,0.0052648499653132315,0.07255928586551298
blur3_truth,tropics,30,velocity,0.6708518023117941,0.8190554329908288
blur3_truth,tropics,30,zos,0.0029171437208512,0.0540105889696752
blur9_truth,extratropics,0,so,0.028451162756645654,0.16867472471193085
blur9_truth,extratropics,0,sst,0.004187948717218257,0.064714362526554
blur9_truth,extratropics,0,thetao,0.011773243064557777,0.10850457623786094
blur9_truth,extratropics,0,velocity,0.9107761918104182,0.9543459497532424
blur9_truth,extratropics,0,zos,0.014014755046427805,0.11838393069343409
blur9_truth,extratropics,5,so,0.028484973314883866,0.1687749190931042
blur9_truth,extratropics,5,sst,0.004824384030970606,0.06945778596363843
blur9_truth,extratropics,5,thetao,0.011844246712665827,0.10883127635319649
blur9_truth,extratropics,5,velocity,0.9333565344619091,0.9661037907294998
blur9_truth,extratropics,5,zos,0.015216526010948554,0.12335528367665713
blur9_truth,extratropics,10,so,0.028547707223438582,0.16896066768167844
blur9_truth,extratropics,10,sst,0.006103047226188711,0.07812200219009183
blur9_truth,extratropics,10,thetao,0.012003529869389958,0.10956062189212855
blur9_truth,extratropics,10,velocity,0.9395671498420579,0.9693127203550245
blur9_truth,extratropics,10,zos,0.01577973896355335,0.12561743097020153
blur9_truth,extratropics,15,so,0.02864894082237244,0.16925997997864833
blur9_truth,extratropics,15,sst,0.00789522726766083,0.08885509139976634
blur9_truth,extratropics,15,thetao,0.012234522311519112,0.11060977493657201
blur9_truth,extratropics,15,velocity,0.9404958809059012,0.9697916688165047
blur9_truth,extratropics,15,zos,0.01605226297985118,0.1266975255474675
blur9_truth,extratropics,20,so,0.02874858665643582,0.16955408180411294
blur9_truth,extratropics,20,sst,0.010114912851478369,0.10057292305326702
blur9_truth,extratropics,20,thetao,0.012530084698673656,0.11193786088126598
blur9_truth,extratropics,20,velocity,0.9428666870702397,0.9710132270315578
blur9_truth,extratropics,20,zos,0.016301449924481588,0.12767713156427657
blur9_truth,extratropics,25,so,0.028864871658705837,0.16989664993373424
blur9_truth,extratropics,25,sst,0.012827240019999018,0.11325740602715134
blur9_truth,extratropics,25,thetao,0.01289871474956633,0.11357250877552336
blur9_truth,extratropics,25,velocity,0.943561022210983,0.9713706924809823
blur9_truth,extratropics,25,zos,0.016448718815515087,0.12825255870942726
blur9_truth,extratropics,30,so,0.028996210406419955,0.17028273666587565
blur9_truth,extratropics,30,sst,0.016106478667658037,0.12691130236372974
blur9_truth,extratropics,30,thetao,0.013344708881662289,0.11551930090535645
blur9_truth,extratropics,30,velocity,0.9442464120840532,0.9717234236571913
blur9_truth,extratropics,30,zos,0.01674603931417665,0.1294064886865286
blur9_truth,global,0,so,0.024238089430174338,0.15568586779208426
blur9_truth,global,0,sst,0.0030718365745298613,0.055424151545421615
blur9_truth,global,0,thetao,0.01510676207200135,0.12290956867551586
blur9_truth,global,0,velocity,0.830379211929553,0.9112514537324772
blur9_truth,global,0,zos,0.009980846252856786,0.09990418536205971
blur9_truth,global,5,so,0.024278795524242305,0.1558165444496903
blur9_truth,global,5,sst,0.003548279192975929,0.05956743399690748
blur9_truth,global,5,thetao,0.015175307188893795,0.12318809678249679
blur9_truth,global,5,velocity,0.8640470651474993,0.9295413197634085
blur9_truth,global,5,zos,0.0108232177380058,0.10403469487630461
blur9_truth,global,10,so,0.024355603400279868,0.15606281876308614
blur9_truth,global,10,sst,0.00451159819659556,0.06716843154783027
blur9_truth,global,10,thetao,0.015325134957687909,0.1237947291191669
blur9_truth,global,10,velocity,0.8769173811148735,0.9364386691689283
blur9_truth,global,10,zos,0.011281196112659788,0.10621297525566162
blur9_truth,global,15,so,0.024466682365461186,0.15641829293743487
blur9_truth,global,15,sst,0.005847454353263837,0.07646864947979555
blur9_truth,global,15,thetao,0.01553736014255578,0.12464894761912665
blur9_truth,global,15,velocity,0.8833915563037837,0.9398891191538413
