model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,extratropics,uo_15,0.33336864771590896,0.032691031630657744,0.03833982959282112,0.26233778649243017,0.3978276911699889,0.6001656244265802
original,extratropics,uo_16,0.44334756445914986,0.034547592835414864,0.059177226677822464,0.34962274494591256,0.43406515769911713,0.7110832444704661
original,extratropics,uo_17,0.46271372232208957,0.036344725359791795,0.06089390706428139,0.36547508989801636,0.40117899448885685,0.6764192234882326
original,extratropics,uo_18,0.40912132075325014,0.03599238711210036,0.059024057027491174,0.3141048766136587,0.33416759384154815,0.5948849245680697
original,extratropics,vo_0,0.09159962950414083,0.006598545561252381,0.0077739768655364465,0.077227107077352,0.4750326118340448,0.5413211092507317
original,extratropics,vo_1,0.06363094015803349,0.004700189756582901,0.004077323205272761,0.05485342719617783,0.4740391906949144,0.512840186505783
original,extratropics,vo_2,0.05566511144622741,0.003910160057379646,0.003694571406276023,0.048060379982571746,0.5046705439239968,0.5418294741924613
original,extratropics,vo_3,0.048951896931198155,0.0034380990170583157,0.003133044509453451,0.042380753404686396,0.5415835633270272,0.5743945917490989
original,extratropics,vo_4,0.0457879070178832,0.0035386043148029405,0.0029192643454240617,0.03933003835765618,0.5640006249731033,0.5913578927222475
original,extratropics,vo_5,0.04911338547078775,0.003859060123030365,0.00361522538814683,0.04163909995961054,0.6056092787205356,0.6379887682516379
original,extratropics,vo_6,0.05744042685811611,0.0045734518335492245,0.004675056225088589,0.04819191879947828,0.6693893684760247,0.7065627714930403
original,extratropics,vo_7,0.06653875386852072,0.005277464736474095,0.006051715515442067,0.05520957361660455,0.7105124279177455,0.7530014762182456
original,extratropics,vo_8,0.07529256977056398,0.006199394494223515,0.007931715322502373,0.061161459953838086,0.7291912341948833,0.7766560231766871
original,extratropics,vo_9,0.08249235382899979,0.007474817390989097,0.009540522747416893,0.06547701369059379,0.7234314438623393,0.778317468692097
original,extratropics,vo_10,0.09311758079756854,0.008683689017228236,0.01224226782115638,0.07219162395918391,0.6987221893575838,0.7673321215296502
original,extratropics,vo_11,0.1097311588723362,0.010352320388627602,0.01533547982990044,0.08404335865380816,0.6695159034709657,0.7566422965938033
original,extratropics,vo_12,0.13862586583801895,0.013089108367194572,0.019035601414152736,0.10650115605667167,0.6259594096003251,0.7313048635634335
original,extratropics,vo_13,0.19146951949714877,0.01837026870285943,0.024823846098671276,0.14827540469561806,0.5810915767827001,0.7109177891196817
original,extratropics,vo_14,0.2675586774681909,0.025740594416023468,0.031313494725721105,0.2105045883264463,0.5597628067352275,0.7348134903895971
original,extratropics,vo_15,0.3689373803353992,0.029425197657196676,0.04362282488184408,0.29588935779635844,0.5451480919228215,0.7778028115165156
original,extratropics,vo_16,0.46023335090913703,0.03032996346073311,0.0605011256735434,0.3694022617748606,0.5149585126162862,0.8060085017279686
original,extratropics,vo_17,0.46980979601571654,0.032353762129597265,0.05974053468751321,0.3777154991986061,0.4757410067968876,0.7596735615288706
original,extratropics,vo_18,0.4353773198843332,0.03246389958467397,0.0543926058451663,0.348520814454493,0.4255301506408737,0.7049563476735139
original,extratropics,thetao_0,0.0,0.0,0.0,0.0,0.039598701052911196,0.039598701052911196
original,extratropics,thetao_1,0.0008750088231165134,0.00036125493340853133,4.230232010106583e-05,0.0004714515696069163,0.03744038575357629,0.03794138612034256
original,extratropics,thetao_2,0.0016935878952402587,0.0004734890600451009,0.0001595103067609253,0.0010605885284342325,0.028933232805818727,0.02969911140394897
original,extratropics,thetao_3,0.0030426991766758084,0.0008350908412889083,0.00027534585077936664,0.0019322624846075322,0.01644162581232073,0.01845256435418638
original,extratropics,thetao_4,0.0038154915550961616,0.0011961260130802403,0.0003512106108212558,0.0022681549311946675,0.007751661191507312,0.009457219758126452
original,extratropics,thetao_5,0.004510548428106763,0.0017336956121127471,0.0004362889280968869,0.002340563887897128,0.0038784892058142733,0.005535800320941814
original,extratropics,thetao_6,0.005466248517041498,0.002145206417481018,0.0006243645882424995,0.0026966775113179825,0.003605040431828242,0.005492812371802453
original,extratropics,thetao_7,0.0065823755469648654,0.0026707763861720923,0.000732335426437519,0.0031792637343552544,0.004549051932945094,0.00653512936873976
original,extratropics,thetao_8,0.008032143962843142,0.003664324979488591,0.0007817338223745166,0.003586085160980035,0.006167500099307624,0.008090758805315923
original,extratropics,thetao_9,0.008478385493036976,0.003754136639812821,0.0009278869407936072,0.0037963619124305502,0.007451260607301186,0.009726109004846197
original,extratropics,thetao_10,0.008314846145354214,0.004198193381690963,0.0008245638267592667,0.003292088936903981,0.006759963347930658,0.008342151528842545
original,extratropics,thetao_11,0.011834250630327808,0.006816026010058571,0.0015587123581404004,0.0034595122621288435,0.0045312978039114046,0.007042764431474913
original,extratropics,thetao_12,0.011515506585316651,0.008209464102155516,0.0010197619050487704,0.0022862805781123626,0.0021362647097222065,0.0030035216924931135
original,extratropics,thetao_13,0.004409027369366214,0.002895408521796023,0.0003548116052898225,0.0011588072422803657,0.0013938133141326563,0.0010828113371746247
original,extratropics,thetao_14,0.0031867083081637175,0.001880631875093082,0.0003364725189162366,0.0009696039141543994,0.0014533870414181107,0.0010917947061588307
original,extratropics,thetao_15,0.002892963586266824,0.0014718921477787103,0.0003936085041288574,0.0010274629343592512,0.0015135878895056727,0.0011643658145543293
