reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,tropics,0,ts,99,9,4000,0.06880574933319318,0.058547232405586735,-0.010258516927606445,-0.010985703602905855,-0.009616522376127742,14.90938915282991,13.875314427749082,16.053125708425682
A-s2718,D-s2718,tropics,0,uo,99,9,4000,0.5131041350276472,0.4504233866881678,-0.0626807483394794,-0.06575569368421229,-0.05993026549019586,12.215989710568598,11.751769285852008,12.728431849480296
A-s2718,D-s2718,tropics,0,vo,99,9,4000,0.5094384135608494,0.447020253342386,-0.062418160218463414,-0.0640063037727464,-0.06086225950212604,12.252346614809785,11.969085824944685,12.526902938065493
A-s2718,D-s2718,tropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,tropics,5,so,99,9,4000,0.07379121585807408,0.06484150677671528,-0.008949709081358795,-0.009812447760684791,-0.008175469187683856,12.128420676211881,10.977558912882511,13.415273016810685
A-s2718,D-s2718,tropics,5,sst,99,9,4000,0.020700027260148867,0.020705145297530654,5.118037381787038e-06,-8.771303175998347e-05,0.0001097843431264521,-0.024724785709051567,-0.5287561307008033,0.42450587542855706
A-s2718,D-s2718,tropics,5,thetao,99,9,4000,0.06305385770291035,0.05294380446292401,-0.010110053239986337,-0.010850559644429464,-0.009445218569370282,16.033996345824995,15.02047517327015,17.15306581195664
A-s2718,D-s2718,tropics,5,ts,99,9,4000,0.06863283656177903,0.059192345079761566,-0.009440491482017463,-0.010195139091166826,-0.008776636582989737,13.7550652937384,12.705626733123232,14.90929909769336
A-s2718,D-s2718,tropics,5,uo,99,9,4000,0.5086641212140866,0.4609661345312884,-0.04769798668279818,-0.0508890275237675,-0.04479189746967956,9.377108526733114,8.883865778045488,9.884064307903829
A-s2718,D-s2718,tropics,5,vo,99,9,4000,0.5011946126945476,0.459591491309872,-0.04160312138467559,-0.0426244340240835,-0.04046204846480039,8.300791814382602,8.07832980700404,8.512778071593806
